,Street_One,Street_Two,Street,lon,lat
55,MISSION ST,29TH ST,"29TH ST & MISSION ST,San Fransisco, CA, USA",-122.39331,37.79315
56,MISSION ST,RUSSIA AVE,"RUSSIA AVE & MISSION ST,San Fransisco, CA, USA",-122.43718,37.72157
57,MISSION ST,ONONDAGA AVE,"ONONDAGA AVE & MISSION ST,San Fransisco, CA, USA",-122.4375,37.72115
58,MISSION ST,ANNIE ST,"ANNIE ST & MISSION ST,San Fransisco, CA, USA",-122.40123,37.78685
59,MISSION ST,21ST ST,"21ST ST & MISSION ST,San Fransisco, CA, USA",-122.39331,37.79315
60,MISSION ST,CLARION ALY,"CLARION ALY & MISSION ST,San Fransisco, CA, USA",-122.41948,37.76306
61,MISSION ST,NAGLEE AVE,"NAGLEE AVE & MISSION ST,San Fransisco, CA, USA",-122.44613,37.7116
62,MISSION ST,ADMIRAL AVE,"ADMIRAL AVE & MISSION ST,San Fransisco, CA, USA",-122.43015,37.72986
63,MISSION ST,RICHLAND AVE,"RICHLAND AVE & MISSION ST,San Fransisco, CA, USA",-122.42449,37.73594
64,MISSION ST,LOWELL ST,"LOWELL ST & MISSION ST,San Fransisco, CA, USA",-122.44641,37.71145
65,MISSION ST,SAN JUAN AVE,"SAN JUAN AVE & MISSION ST,San Fransisco, CA, USA",-122.43532,37.72401
66,MISSION ST,14TH ST,"14TH ST & MISSION ST,San Fransisco, CA, USA",-122.41997,37.76829
67,MISSION ST,CONCORD ST,"CONCORD ST & MISSION ST,San Fransisco, CA, USA",-122.44334,37.71397
68,MISSION ST,HIGHLAND AVE,"HIGHLAND AVE & MISSION ST,San Fransisco, CA, USA",-122.42404,37.73736
69,MISSION ST,10TH ST,"10TH ST & MISSION ST,San Fransisco, CA, USA",-122.41591,37.77528
70,MISSION ST,LAWRENCE AVE,"LAWRENCE AVE & MISSION ST,San Fransisco, CA, USA",-122.45088,37.70942
71,MISSION ST,AMAZON AVE,"AMAZON AVE & MISSION ST,San Fransisco, CA, USA",-122.44043,37.71724
72,MISSION ST,ECKER ST,"ECKER ST & MISSION ST,San Fransisco, CA, USA",-122.41144,37.7788
73,MISSION ST,SHAW ALY,"SHAW ALY & MISSION ST,San Fransisco, CA, USA",-122.39857,37.78898
74,MISSION ST,AVALON AVE,"AVALON AVE & MISSION ST,San Fransisco, CA, USA",-122.43234,37.72772
75,MISSION ST,FRANCIS ST,"FRANCIS ST & MISSION ST,San Fransisco, CA, USA",-122.43336,37.7266
76,MISSION ST,LAFAYETTE ST,"LAFAYETTE ST & MISSION ST,San Fransisco, CA, USA",-122.41808,37.77352
77,MISSION ST,JESSIE WEST ST,"JESSIE WEST ST & MISSION ST,San Fransisco, CA, USA",-122.40604,37.78309
78,MISSION ST,COLLEGE AVE,"COLLEGE AVE & MISSION ST,San Fransisco, CA, USA",-122.42481,37.73526
79,MISSION ST,3RD ST,"3RD ST & MISSION ST,San Fransisco, CA, USA",-122.402,37.78627
80,MISSION ST,HARRINGTON ST,"HARRINGTON ST & MISSION ST,San Fransisco, CA, USA",-122.43444,37.72518
81,MISSION ST,COLLEGE TER,"COLLEGE TER & MISSION ST,San Fransisco, CA, USA",-122.42579,37.73428
82,MISSION ST,VALENCIA ST,"VALENCIA ST & MISSION ST,San Fransisco, CA, USA",-122.41987,37.74559
83,MISSION ST,NEY ST,"NEY ST & MISSION ST,San Fransisco, CA, USA",-122.43001,37.73001
84,MISSION ST,12TH ST,"12TH ST & MISSION ST,San Fransisco, CA, USA",-122.41144,37.7788
85,MISSION ST,25TH ST,"25TH ST & MISSION ST,San Fransisco, CA, USA",-122.39331,37.79315
86,MISSION ST,MARY ST,"MARY ST & MISSION ST,San Fransisco, CA, USA",-122.40724,37.78214
87,MISSION ST,SPEAR ST,"SPEAR ST & MISSION ST,San Fransisco, CA, USA",-122.39407,37.79256
88,MISSION ST,ROLPH ST,"ROLPH ST & MISSION ST,San Fransisco, CA, USA",-122.44157,37.71579
89,MISSION ST,7TH ST,"7TH ST & MISSION ST,San Fransisco, CA, USA",-122.4109,37.77921
90,MISSION ST,NORTON ST,"NORTON ST & MISSION ST,San Fransisco, CA, USA",-122.4349,37.7246
91,MISSION ST,RUTH ST,"RUTH ST & MISSION ST,San Fransisco, CA, USA",-122.43604,37.72306
92,MISSION ST,BRAZIL AVE,"BRAZIL AVE & MISSION ST,San Fransisco, CA, USA",-122.43483,37.7247
93,MISSION ST,GUTTENBERG ST,"GUTTENBERG ST & MISSION ST,San Fransisco, CA, USA",-122.4446,37.71279
94,MISSION ST,23RD ST,"23RD ST & MISSION ST,San Fransisco, CA, USA",-122.39331,37.79315
95,MISSION ST,RANDALL ST,"RANDALL ST & MISSION ST,San Fransisco, CA, USA",-122.42362,37.7398
96,MISSION ST,PERSIA AVE,"PERSIA AVE & MISSION ST,San Fransisco, CA, USA",-122.43597,37.72314
97,MISSION ST,16TH ST,"16TH ST & MISSION ST,San Fransisco, CA, USA",-122.41967,37.76505
98,MISSION ST,YERBA BUENA LN,"YERBA BUENA LN & MISSION ST,San Fransisco, CA, USA",-122.40347,37.7851
99,MISSION ST,LAURA ST,"LAURA ST & MISSION ST,San Fransisco, CA, USA",-122.45012,37.70969
100,MISSION ST,18TH ST,"18TH ST & MISSION ST,San Fransisco, CA, USA",-122.41937,37.76184
101,MISSION ST,LEO ST,"LEO ST & MISSION ST,San Fransisco, CA, USA",-122.43651,37.72246
102,MISSION ST,POWERS AVE,"POWERS AVE & MISSION ST,San Fransisco, CA, USA",-122.41951,37.74618
103,MISSION ST,SANTA ROSA AVE,"SANTA ROSA AVE & MISSION ST,San Fransisco, CA, USA",-122.43401,37.72576
104,MISSION ST,FLORENTINE AVE,"FLORENTINE AVE & MISSION ST,San Fransisco, CA, USA",-122.44396,37.71338
105,MISSION ST,FOOTE AVE,"FOOTE AVE & MISSION ST,San Fransisco, CA, USA",-122.44477,37.71264
106,MISSION ST,BOSWORTH ST,"BOSWORTH ST & MISSION ST,San Fransisco, CA, USA",-122.42644,37.73367
107,MISSION ST,EXCELSIOR AVE,"EXCELSIOR AVE & MISSION ST,San Fransisco, CA, USA",-122.43364,37.72624
108,MISSION ST,WASHBURN ST,"WASHBURN ST & MISSION ST,San Fransisco, CA, USA",-122.41514,37.77589
109,MISSION ST,MORSE ST,"MORSE ST & MISSION ST,San Fransisco, CA, USA",-122.44837,37.71035
110,MISSION ST,ANGELOS ALY,"ANGELOS ALY & MISSION ST,San Fransisco, CA, USA",-122.41227,37.77816
111,MISSION ST,BROOK ST,"BROOK ST & MISSION ST,San Fransisco, CA, USA",-122.42307,37.74065
112,MISSION ST,9TH ST,"9TH ST & MISSION ST,San Fransisco, CA, USA",-122.41472,37.77624
113,MISSION ST,OTTAWA AVE,"OTTAWA AVE & MISSION ST,San Fransisco, CA, USA",-122.44373,37.71361
114,MISSION ST,NIAGARA AVE,"NIAGARA AVE & MISSION ST,San Fransisco, CA, USA",-122.44172,37.71558
115,MISSION ST,ACTON ST,"ACTON ST & MISSION ST,San Fransisco, CA, USA",-122.45276,37.7088
116,MISSION ST,5TH ST,"5TH ST & MISSION ST,San Fransisco, CA, USA",-122.40649,37.78274
117,MISSION ST,24TH ST,"24TH ST & MISSION ST,San Fransisco, CA, USA",-122.39331,37.79315
118,MISSION ST,GRACE ST,"GRACE ST & MISSION ST,San Fransisco, CA, USA",-122.41549,37.77561
